id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr
1,ABB,Dec 2012,8.771929824561402,12.220205686630369,22.411128284389488,0.0,,1.822491730981257,42.0,59.0,68.0,3.081,25.0,0,101.0
3,ABB,Mar 2014,8.699472759226714,11.731107205623902,25.12690355329949,0.0,,1.9982440737489024,0.0,0.0,93.0,3.7524,25.0,0,0.0
5,ABB,Mar 2015,10.004368719965049,13.630406290956751,24.439701173959445,0.0,,1.665938864628821,-1899.0,1864.0,108.0,4.4619,29.0,0,-35.0
7,ABB,Mar 2016,9.755164498852334,13.963274674827849,21.338912133891213,0.0,138.33333333333334,1.6175742574257426,728.0,816.0,120.0,5.6905,29.0,0,1544.0
9,ABB,Mar 2017,9.541853255253187,13.709955218739237,19.971160778658977,0.0,227.5,1.40513068731849,459.0,1730.0,130.0,6.6048,31.0,0,2189.0
11,ABB,Mar 2018,12.15888417222559,15.918738629472406,23.685764914353218,0.0,160.5,1.365066225165563,-994.0,3192.0,189.0,8.0619,29.0,0,2198.0
13,ABB,Mar 2019,12.231584669747214,16.444686055993476,22.410358565737052,0.0,359.0,1.2509350561033663,-459.0,3050.0,212.0,9.5619,31.0,0,2591.0
15,ABB,Mar 2020,14.488150500855118,18.49499144881505,24.39325380501851,0.07198683669271905,96.77777777777777,1.153932901043135,-206.0,5643.0,279.0,11.5762,90.0,175,5437.0
17,ABB,Mar 2021,16.03248259860789,21.392111368909514,26.5564950038432,0.058800922367409685,55.72222222222222,1.1223958333333333,-225.0,4009.0,325.0,12.3905,85.0,153,3784.0
19,ABB,Mar 2022,16.26297577854671,22.023203745165887,28.333333333333332,0.05390070921985816,61.31578947368421,1.1631155303030303,161.0,3936.0,376.0,13.4286,73.0,152,4097.0
